,file_name,gpt extracted precedents,ner extracted precedents,true_positives,false_positives,false_negatives
0,Abhijeet_Suryakant_Maske_And_Anr_vs_The_State_Of_Maharashtra_on_1_March_2022.PDF,"['aba (stamp) no.2489/2020', 'joseph kurian & anr. vs. state of kerala']",['abhijeet suryakant maske and anr vs the state of maharashtra'],0.0,2.0,1.0
1,Amluya_Anand_vs_State_on_8_March_2022.PDF,"['pankaj mahajan vs state of himachal pradesh', 'sri.v.v.s.s.r. prakash rao vs. the state of telangana']","['anand vs state on 8 march, 2022', 'crlmp-545/2020]amluya anand vs state', 'pankaj mahajan vs state of himachal pradesh: cr.', 'toamluya anand vs state', 'v.v.s.s.r. prakash rao vs. the state of telangana :\ncrlp no.8410 of 2018']",0.0,2.0,5.0
2,Arulmurugan_Starch_Industries_vs_Food_Safety_And_Standards_Authority_Of_on_19_January_2022.PDF,[],[],0.0,0.0,0.0
3,Arun_Raosaheb_Khot_vs_State_Of_Maharashtra_on_31_January_2022.PDF,['joseph kurian & anr. vs. state of kerala'],[],0.0,1.0,0.0
4,Asha_Singh_vs_The_State_Of_Bihar_on_24_March_2022.PDF,[],[],0.0,0.0,0.0
5,Avinash_Balkrishna_Bhamre_vs_State_Of_Maharashtra_on_8_March_2022.PDF,['joseph kurian & anr. vs. state of kerala'],['balkrishna bhamre vs state of maharashtra'],0.0,1.0,1.0
6,Ayesha_Hajeera_Almas_vs_Chief_Secretary_on_15_March_2022.PDF,"['adi saiva sivachariyargal nala sangam vs. state of tamil nadu', 'ahsa renjan vs. state of bihar', 'ajmal khan vs. election commission of india', 'amnah bint basheer vs. central board of secondary education', 'antonie vs. governing body, settlers high school', 'balvir ssingh multani vs. commission scolaire marguerite - bourgeoys', 'bijoe emmanual vs. state of kerala', 'brown vs. louisiana', 'christian education south africa vs. minister of education', 'fathima hussain vs. bharath education society', 'gulam abbas vs. state of uttar pradesh', 'indian young lawyers association vs. state of kerala', 'indibily creative pvt. ltd vs. state of west bengal', 'k.s puttaswamy vs. union of india', 'mec for education: kwazulu - natal vs. navaneethum pillay', 'modern dental college vs. state of madhya pradesh', 'mohammad fugicha vs. methodist chruch in kenya', 'national legal services authority vs. union of india', 'r. vs. videoflex', 's.r. bommai vs. union of india', 'shayara bano vs. union of india', 'sir m. venkata subbarao vs. sir m. venkata subbarao', 'sri venkataramana devaru vs. state of mysore', 'state of punjab vs. gurdev singh', 'terminiello vs. chicago', 'tinker vs. des moines', 'union of india vs. k.m.shankarappa', 'v.kamalamma vs. dr. m.g.r. medical university']","['(1973), volume 68', '13 (2004) 2 mlj 653 14 (1970) 3 scc 76 15 (2010)', '160).ayesha hajeera almas vs chief secretary', '17 air 1973 sc 1461 18 air 1955 sc 549 19 (2010) 3 scc 571 20 (2010)', '1958 scr 895 4 (2019) 11 scc 1 5 (1986) 3 scc 615 6 (2014) 5 scc 438 7 (2017) 10 scc 1', '21 (2004) 7 scc 467 22 (1982) 1 scc 71 23 (2020) 12 scc 436 24 337', '40 air 1954 sc 282 41 air 1961 sc 1402 42 (1994)', '4v. public services commission, malaysia', '51 (2016) 2 scc 725 52 (1994) 3 scc 1 53 (2020) 6 scc 689 54 (2000) 7', '5ayesha hajeera almas vs chief secretary', '60 (1959) 1', '67 1971 scr (2) 446', '6ayesha hajeera almas vs chief secretary', '70 2004 (1) jkj 418', '72 1973 scc online all 333 xi', '75 air 1957 sc 133', '83 (1985) 1 scc 641 (viii)', '85 hjh halimatussaadiah bte hj kamaruddinayesha hajeera almas vs chief secretary on 15 march, 2022', '86 air 1992 sc 111', '[2006] 2 wlr 719 58 391 us 367 (1968)', 'a.s. narayana deekshitulu vs. state of andhra pradesh43', 'accessayesha hajeera almas vs chief secretary', 'adi saiva sivachariyargal nala sangam vs. state of tamil nadu51', 'ahmed khan vs. shah bano begum47', 'ahsa renjan vs. state of bihar11', 'air 1954 mad 385 adelaide co', 'air 1978 sc 851', 'air 1979 sc 25 82 (2018) 5 scc 1', 'air 2003 bom 75 m. venkata subbarao marticulation higher secondary school staff association vs. sir m. venkata subbarao marticulation higher secondary school13', 'ajmal khan vs. election commission of india2.ayesha hajeera almas vs chief secretary', 'ajmal khan vs. the election commission46', 'ajmer vs. syed hussain ali41', 'all india pre- medical entrance test, 2016', 'amnah bint basheer vs. central board of secondary education1', 'andayesha hajeera almas vs chief secretary on 15 march, 2022', 'antonie vs.\ngoverning body, settlers high school38', 'aruna roy vs. union of india29', 'asayesha hajeera almas vs chief secretary', 'ayesha hajeera almas vs chief secretary', 'ayesha hajeera almas vs chief secretary on 15 march, 2022', 'ayesha hajeera almas vs chief secretary on 15 march, 2022 4(ii)', 'ayesha hajeera almas vs chief secretary on 15 march, 2022 6a', 'ayesha hajeera almas vs chief secretary on 15 march, 2022 7sūra xxxiii (ahzāb)', 'ayesha hajeera almas vs chief secretary on 15 march, 2022 9', 'balvir ssingh multani vs. commission scolaire marguerite - bourgeoys37', 'becauseayesha hajeera almas vs chief secretary', 'bhim singh vs. union of india20', 'bijoe emmanual vs. state of kerala5', 'broughtayesha hajeera almas vs chief secretary', 'burnside vs. byars84', 'cbcayesha hajeera almas vs chief secretary', 'chintaman rao vs. state of madhya pradesh50 and mohd', 'christian education south africa vs. minister of education35', 'christmas vs. el reno board of education78', 'church of god (full gospel) in india', 'commissioner hindu religious endowments madras vs. sri lakshmindra thirtha swamiar of sri shirur mutt40,', 'commissioner of police vs.\ngordhandas bhanje87', 'commissioner of police vs. acharya jagadishwarananda avadhuta45', 'commissioner of police vs. c. anita21', 'common cause vs. union of india82', 'constitution vide state of karnataka vs. praveen bhai thogadia', 'constitution?ayesha hajeera almas vs chief secretary on 15 march, 2022', 'davis v. beason62', 'deoki nandan vs. murlidhar75', 'director general of police      state of karnataka      state police headquarters no.2      nrupathunga roadayesha hajeera almas vs chief secretary on 15 march, 2022 2     bangalore-560001', 'domainayesha hajeera almas vs chief secretary on 15 march, 2022', 'dressayesha hajeera almas vs chief secretary on 15 march, 2022 2code', 'employment division vs. smith79', 'evenayesha hajeera almas vs chief secretary on 15 march, 2022 1the', 'excel wear vs. union of india81', 'faithayesha hajeera almas vs chief secretary', 'faruk v. state of madhya pradesh', 'faruk v. state of madhya pradesh9', 'fathima hussain vs. bharath education society12', 'fathima thasneem vs. state of kerala48', 'followsayesha hajeera almas vs chief secretary', 'ghanshyam upadhyay vs.', 'gulam abbas vs. state of uttar pradesh22, indibily creative pvt', 'hajeera almas vs chief secretary', 'hajeera almas vs chief secretary on 15 march, 2022', 'inayesha hajeera almas vs chief secretary', 'indian express newspapers vs. union of india83', 'indian young lawyers association vs. state of kerala4 (ii)', 'indira nehru gandhi vs. raj narain61', 'jagadishwarananda avadhuta, chandanmal vs. state of west bengal90', 'jamshedji cursetjee tarachand vs. soonabai74', 'jane sathya vs.\nmeenakshi sundaram engineering college49', 'javed vs. state of haryana44', 'john f. tinker vs. des moines independent community school', 'k.a.abbas vs. union of india 67', 'k.s puttaswamy vs. union of india7', 'kesavananda bharati vs. state of kerala17', 'kingsley books inc. vs. brown66', 'kose vs. turkey59', 'leyla sahin vs.\nturkey55, wabe', 'livingayesha hajeera almas vs chief secretary', 'ltd vs. state of west bengal23', 'lubna mehraj vs.', 'm. ismail faruqui vs.\nunion of india42', 'manohar lal vs. ugrasen15', 'master manjunath vs. union of india', 'mec for education: kwazulu - natal vs. navaneethum pillay34', 'mh müller handel56', 'miller vs. gills77', 'ministry of defence vs. babita puniya', 'modern dental college and research 80 (2020) 10 scc 274 centre v. state of madhya pradesh', 'modern dental college vs. state of madhya pradesh8 and mohd', 'mohammad fugicha vs.\nmethodist chruch in kenya39', 'mohinder singh gill vs.\nchief election', 'ms zunaira amber tayesha hajeera almas vs chief secretary', 'mulla', 'myrianayesha hajeera almas vs chief secretary on 15 march, 2022', 'narayanan nambudripad vs. madras63', 'national legal services authority vs. union of india6', 'navtej singh johar vs. union of india32', 'nitisha vs. union of india33', 'notayesha hajeera almas vs chief secretary', 'notayesha hajeera almas vs chief secretary on 15 march, 2022', 'of india vs. reserve bank of india80', 'ofayesha hajeera almas vs chief secretary', 'ofayesha hajeera almas vs chief secretary on 15 march, 2022', 'onlyayesha hajeera almas vs chief secretary on 15 march, 2022', 'orayesha hajeera almas vs chief secretary on 15 march, 2022', 'orient paper mills ltd vs. union of india14', 'practice;ayesha hajeera almas vs chief secretary on 15 march, 2022', 'prayag das vs. civil judge bulandshahr72', 'professayesha hajeera almas vs chief secretary on 15 march, 2022', 'quinn vs. leathem73', 'rafique vs. contai rahamania high madrasah53', 'rai sahib ram jawaya kapur vs. state of punjab18', 'regina vs. governors of denbigh high school', 'regina vs. governors of denbigh high school57', 'rex vs. newport (salop)76 which', 's.r. bommai vs. union of india52', 'scc online can sc 6 38 2002 (4) sa 738 (t) 39 (2016)', 'scc online ker 487', 'scc online mad 794', 'shayara bano vs.', 'sir m. venkata subbarao &', 'society for unaided private schools of rajasthan vs. union of india31', 'sri venkataramana devaru vs. state of mysore3', 'state of punjab vs.', 'state of west bengal vs. committee for protection of democractic rights19', 'terminiello vs. chicago24,\nbrown vs. louisiana25, tinker vs. des moines26', 'theayesha hajeera almas vs chief secretary', 'theayesha hajeera almas vs chief secretary on 15 march, 2022', 'toayesha hajeera almas vs chief secretary', 'towne vs. eisner88', 'treatedayesha hajeera almas vs chief secretary', 'union of india vs. k.m.shankarappa27', 'universal declaration of human rights (1948), convention of 28 (2004) 4 scc 684 29 (2002) 7', 'university of mysore vs. c.d. govinda rao89', ""usman'sayesha hajeera almas vs chief secretary on"", 'v.kamalamma vs.\ndr', 'valsamma paul (mrs) vs. cochin university30', 'wasayesha hajeera almas vs chief secretary on 15 march, 2022']",0.0,28.0,156.0
7,A_R_Starch_Products_vs_The_Commissioner_Of_Food_Safety_on_3_January_2022.PDF,[],[],0.0,0.0,0.0
8,Badam_Sampath_Kumar_vs_State_Of_Odisha_Opp_Party_on_8_February_2022.PDF,[],[],0.0,0.0,0.0
9,Baswaraj_Vishwanath_Agre_vs_The_State_Of_Maharashtra_on_3_March_2022.PDF,[],[],0.0,0.0,0.0
10,Bharat_Sukhdev_Dhobale_vs_The_State_Of_Maharashtra_on_21_February_2022.PDF,['joseph kurian & anr. vs. state of kerala'],[],0.0,1.0,0.0
11,Bijaya_Kumar_Kamani_vs_State_Of_Odisha_Opposite_Party_on_1_February_2022.PDF,[],['bijaya kumar kamani vs state of odisha'],0.0,0.0,1.0
12,Binod_Kumar_Agrawal_vs_State_Of_Odisha_Opp_Party_on_9_February_2022.PDF,[],['casebinod kumar agrawal vs state of odisha'],0.0,0.0,1.0
13,Bose_Mathew_vs_The_State_Of_Kerala_on_4_March_2022.PDF,['annexure a2 judgment dated 31.10.2008'],[],0.0,1.0,0.0
14,Burra_Lingaiah_Yadav_vs_The_State_Of_Telangana_And_3_Others_on_10_February_2022.PDF,[],[],0.0,0.0,0.0
15,B_Ramesh_vs_State_Of_Odisha_Opposite_Party_on_4_February_2022.PDF,[],[],0.0,0.0,0.0
16,Chintalagunta_Gopi_vs_The_State_Of_Andhra_Pradesh_on_7_January_2022.PDF,[],"['chintalagunta gopi, vs the state of andhra pradesh']",0.0,0.0,1.0
17,Code_Of_Criminal_Procedure_vs_Unknown_on_4_January_2022.PDF,['criminal petition no.5421 of 2019'],['code of criminal procedure vs unknown'],0.0,1.0,1.0
18,CRLP_1377_2022_on_9_March_2022.PDF,"['criminal petition nos.5421 of 2019 and batch', 'w.p.no.3731 of 2018 and batch']",[],0.0,2.0,0.0
19,CRLP_1440_2020_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
20,CRLP_1598_2022_on_9_March_2022.PDF,['criminal petition nos.5421 of 2019 and batch'],[],0.0,1.0,0.0
21,CRLP_1669_2022_on_10_March_2022.PDF,['criminal petition nos.3731 of 2018 and batch'],[],0.0,1.0,0.0
22,CRLP_1671_2022_on_10_March_2022.PDF,['criminal petition nos.3731 of 2018 and batch'],[],0.0,1.0,0.0
23,CRLP_1717_2022_on_10_March_2022.PDF,['criminal petition nos.3731 of 2018 and batch'],[],0.0,1.0,0.0
24,CRLP_1720_2022_on_10_March_2022.PDF,['criminal petition nos.3731 of 2018 and batch'],[],0.0,1.0,0.0
25,CRLP_1759_2022_on_11_March_2022.PDF,"['criminal petition nos.5421 of 2019 and batch', 'crl.p.no.3731 of 2018 and batch']",[],0.0,2.0,0.0
26,CRLP_1760_2022_on_11_March_2022.PDF,"['criminal petition nos.5421 of 2019 and batch', 'crl.p.no.3731 of 2018 and batch']",[],0.0,2.0,0.0
27,CRLP_282_2022_on_27_January_2022.PDF,"['crl.p. nos.2966 of 2021 and batch', 'crl.p. nos.5421 of 2019 and batch']",[],0.0,2.0,0.0
28,CRLP_3708_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
29,CRLP_3866_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
30,CRLP_4494_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
31,CRLP_4698_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
32,CRLP_4749_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
33,CRLP_490_2022_on_8_February_2022.PDF,"['criminal petition no.5421 of 2019', 'criminal petition nos.2966 of 2021']",[],0.0,2.0,0.0
34,CRLP_5156_2019_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
35,CRLP_5163_2019_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
36,CRLP_5641_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
37,CRLP_6833_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
38,CRLP_6838_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
39,CRLP_6843_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
40,CRLP_6849_2021_on_6_January_2022.PDF,"['criminal petition no.2966 of 2021', 'criminal petition no.5421 of 2019']",[],0.0,2.0,0.0
41,CRLP_808_2022_on_16_February_2022.PDF,['criminal petition nos.5421 of 2019 and batch'],[],0.0,1.0,0.0
42,CRLP_848_2022_on_16_February_2022.PDF,['criminal petition nos.5421 of 2019 and batch'],[],0.0,1.0,0.0
43,CRLP_852_2022_on_16_February_2022.PDF,['criminal petition nos.5421 of 2019 and batch'],[],0.0,1.0,0.0
44,Cr_Cases_7164_2019_on_3_February_2022.PDF,"['delhi administration v. vidya gupta, criminal appeal no. 625 of 2018']","['cc no:- 7164/2019 food safety officer v. tulsi ram aggarwal page no. 10 of 11 akash', 'delhi administration v. vidya gupta, criminal appeal no. 625 of 2018', 'food safety officer v. tulsi ram aggarwal', 'food safety officer v. tulsi ram aggarwal page']",1.0,0.0,3.0
45,Dabur_India_Ltd_vs_Shiv_G_Shetti_Ors_on_23_March_2022.PDF,[],['dabur india ltd vs shiv g shetti & ors'],0.0,0.0,1.0
46,Deepa_Naresh_Bhavnani_vs_State_Of_Maharashtra_on_24_January_2022.PDF,[],[],0.0,0.0,0.0
47,Delhi_Golf_Club_Employees_Union_vs_Union_Of_India_on_24_February_2022.PDF,[],"['b.s. rohelladelhi golf club employees union vs union of india', 'principal employer registrationdelhi golf club employees union vs union of india', 'thedelhi golf club employees union vs union of india', 'throughdelhi golf club employees union vs union of india']",0.0,0.0,4.0
48,Dharampal_Satyapal_Ltd_vs_The_State_Of_Maharashtra_And_3_Ors_on_30_March_2022.PDF,[],['thedharampal satyapal ltd vs the state of maharashtra and 3 ors'],0.0,0.0,1.0
49,Dharmendra_Ghanshayamdas_Hasani_vs_The_State_Of_Maharashtra_on_9_March_2022.PDF,[],['dharmendra ghanshayamdas hasani vs the state of maharashtra'],0.0,0.0,1.0
50,Dilip_Kumar_Yadav_vs_The_State_Of_Bihar_on_3_February_2022.PDF,[],[],0.0,0.0,0.0
51,Dilip_Saha_vs_The_State_Of_Assam_on_10_March_2022.PDF,[],[],0.0,0.0,0.0
52,Dillip_Kumar_Das_Anr_vs_State_Of_Odisha_Opposite_Party_on_21_February_2022.PDF,[],[],0.0,0.0,0.0
53,Dr_Krishna_Ram_H_vs_The_Chief_Secretary_To_Government_on_30_March_2022.PDF,[],['j.dr krishna ram h vs the chief secretary to government'],0.0,0.0,1.0
54,Dwarampudi_Sivarama_Reddy_vs_The_State_Of_Andhra_Pradesh_on_5_January_2022.PDF,[],['dwarampudi sivarama reddy vs the state of andhra pradesh'],0.0,0.0,1.0
55,Fardin_Moinddin_Shaikh_vs_State_Of_Maharashtra_on_3_January_2022.PDF,[],[],0.0,0.0,0.0
